,company_name,job_title,experience,salary,location,desc,skills
2808,GlobusSoft,Junior Data Scientist - Bangalore,1-3 Yrs,"2,00,000 - 5,00,000 PA.",Bengaluru(5th block Koramangala)," Must have skills: Python, ML/DL, NLP, Web/Data Scraping Selecting features, building an...","Natural Language Processing ,Machine Learning ,Python ,Predictive Modeling ,Data Science ,NLP ,NoSQL ,Data Mining ,"
2809,Hyper Thread Solutions Pvt. Ltd.,Hiring For Data Scientist 3-7 Years Experience,3-7 Yrs,Not disclosed,Hyderabad, Must have worked hands on in either one of these areas - Chatbots / Computer Vision / N...,"IT Skills ,Python ,Data Science ,Machine Learning ,Artificial Intelligence ,Tensorflow ,Nltk ,Data Science ,"
2810,Walmart Labs,Staff Data Scientist,5-10 Yrs,Not disclosed,Bengaluru, You preferably have domain knowledge of eCommerce PhD / Doctor of Philosophy or Master ...,"Computer science ,Computer vision ,deep learning ,data science ,Data modeling ,Machine learning ,E-commerce ,Data processing ,"
2811,DataWeave Software Pvt Ltd,Data Scientist,2-5 Yrs,Not disclosed,Bengaluru, Be proficient in Git and other essential software development toolsExperience building ...,"Computer vision ,deep learning ,Backend ,data science ,Machine learning ,Data processing ,Natural language processing ,Research ,"
2812,Larsen & Toubro Infotech Limited,SR DATA Scientist,5-9 Yrs,Not disclosed,India, Job Description Python Machine Learning and Deep Learning Natural Language Processing T...,"IT Skills ,Python ,Data Science ,Machine Learning ,Artificial Intelligence ,deep learning ,Data analysis ,data science ,"
2813,CarbyneTech India,Data Scientist - Machine Learning/APICS,3-8 Yrs,Not disclosed,Hyderabad, Must have APICS CPIM Certification Manufacturing domain - predictive and online quality...,"Data Science ,R ,APICS ,NLP ,Neural networks ,Artificial Intelligence ,Data Management ,Machine Learning ,"
2814,GlaxoSmithKline Pharmaceuticals Limited,Global Medical Data Scientist,5-7 Yrs,Not disclosed,"Bengaluru, India"," medical voice of customer feedback, customer listening, feedback from surveys and resea...","Data Science ,NLP ,Text Analytics ,Artificial Intelligence ,Natural Language Processing ,Advanced Analytics ,Jupyter ,Machine Learning ,"
2815,Mobiotics IT Solution Pvt Ltd,Data Scientist,2-5 Yrs,"5,00,000 - 10,00,000 PA.",Bengaluru(HSR Layout), 5 Years of solid experience in data analytics and MLDegree in Data Science preferred wi...,"Big Data Analytics ,ELK ,Postgresql ,Cassandra ,Kafka ,Jupyter Notebook ,Machine Learning ,Numpy ,"
2816,Lentra AI Private Limited ,Data Scientist,3-5 Yrs,Not disclosed,Pune, Lentra relies on rich insightful data to power our credit risk models and scorecards. C...,"Java ,Lstm ,Artificial Intelligence ,Neural Networks ,Node.Js ,Clustering ,Machine Learning ,Deep Learning ,"
2817,krtrimaIQ AI Solutions,Sr Data Scientist,5-8 Yrs,Not disclosed,Bengaluru, Interface with the customers to understand the problem and provide required solutions C...,"IT Skills ,Machine Learning ,Computer science ,Computer vision ,deep learning ,Data analysis ,Neural networks ,Machine learning ,"
